0,0.002
1,-0.0072
2,-0.0462
3,-0.0498
4,-0.0618
5,-0.072
6,-0.0638
7,-0.075
8,-0.0818
9,-0.0804
10,-0.0786
11,-0.0718
12,-0.0728
13,-0.059
14,-0.0734
15,-0.079
16,-0.086
17,-0.0704
18,-0.0596
19,-0.0774
20,-0.078
21,-0.0794
22,-0.0708
23,-0.056
24,-0.0642
25,-0.0608
26,-0.0598
27,-0.055
28,-0.0648
29,-0.0584
30,-0.0554
31,-0.0406
32,-0.048
33,-0.0404
34,-0.0404
35,-0.0496
36,-0.0454
37,-0.0586
38,-0.0754
39,-0.0772
40,-0.0696
41,-0.07
42,-0.0618
43,-0.0678
44,-0.0744
45,-0.0968
46,-0.0986
47,-0.0948
48,-0.0858
49,-0.1022
50,-0.1154
51,-0.12
52,-0.1248
53,-0.1292
54,-0.1314
55,-0.1204
56,-0.1296
57,-0.1288
58,-0.1348
59,-0.1362
60,-0.143
61,-0.1374
62,-0.1258
63,-0.1184
64,-0.115
65,-0.1326
66,-0.1326
67,-0.1318
68,-0.1196
69,-0.1122
70,-0.1274
71,-0.1204
72,-0.115
73,-0.1114
74,-0.1152
75,-0.1196
76,-0.1144
77,-0.1176
78,-0.1054
79,-0.1044
80,-0.0922
81,-0.0954
82,-0.0998
83,-0.0922
84,-0.0898
85,-0.088
86,-0.0916
87,-0.0774
88,-0.0702
89,-0.0488
90,-0.0498
91,-0.0432
92,-0.0432
93,-0.0314
94,-0.0382
95,-0.0368
96,-0.0492
97,-0.0434
98,-0.0502
99,-0.0544
100,-0.0558
101,-0.0558
102,-0.054
103,-0.0588
104,-0.063
105,-0.0678
106,-0.0738
107,-0.0764
108,-0.0774
109,-0.0768
110,-0.0886
111,-0.0962
112,-0.1112
113,-0.1038
114,-0.097
115,-0.1124
116,-0.1142
117,-0.1036
118,-0.0996
119,-0.1046
120,-0.1016
121,-0.1078
122,-0.107
123,-0.096
124,-0.1072
125,-0.1012
126,-0.1082
127,-0.0994
128,-0.0996
129,-0.0928
130,-0.1026
131,-0.0912
132,-0.0934
133,-0.0796
134,-0.0872
135,-0.0784
136,-0.0718
137,-0.0898
138,-0.0918
139,-0.0888
140,-0.0818
141,-0.0748
142,-0.0634
143,-0.0632
144,-0.0562
145,-0.0628
146,-0.0804
147,-0.0864
148,-0.0924
149,-0.086
150,-0.0774
151,-0.0782
152,-0.0758
153,-0.0888
154,-0.097
155,-0.1066
156,-0.1102
157,-0.1062
158,-0.108
159,-0.1076
160,-0.1126
161,-0.0932
162,-0.0836
163,-0.089
164,-0.1036
165,-0.0984
166,-0.113
167,-0.1122
168,-0.1132
169,-0.1186
170,-0.1216
171,-0.1158
172,-0.1272
173,-0.1286
174,-0.1414
175,-0.1434
176,-0.1236
177,-0.13
178,-0.1228
179,-0.1256
180,-0.1272
181,-0.1224
182,-0.1206
183,-0.1272
184,-0.1114
185,-0.1004
186,-0.1088
187,-0.117
188,-0.0994
189,-0.0984
190,-0.0938
191,-0.1032
192,-0.102
193,-0.0992
194,-0.1072
195,-0.1152
196,-0.1088
197,-0.107
198,-0.1054
199,-0.1168
200,-0.1194
201,-0.1238
202,-0.117
203,-0.1102
204,-0.108
205,-0.114
206,-0.1138
207,-0.1156
208,-0.1032
209,-0.094
210,-0.0954
211,-0.1022
212,-0.1022
213,-0.092
214,-0.093
215,-0.0988
216,-0.0966
217,-0.1002
218,-0.107
219,-0.106
220,-0.119
221,-0.1286
222,-0.1192
223,-0.11
224,-0.092
225,-0.0908
226,-0.0782
227,-0.0718
228,-0.0882
229,-0.092
230,-0.1002
231,-0.1042
232,-0.1048
233,-0.1148
234,-0.1074
235,-0.0954
236,-0.0906
237,-0.0968
238,-0.1056
239,-0.104
240,-0.1122
241,-0.1206
242,-0.1118
243,-0.1158
244,-0.1254
245,-0.1148
246,-0.102
247,-0.1016
248,-0.0924
249,-0.0782
250,-0.0782
251,-0.0842
252,-0.1028
253,-0.0946
254,-0.0998
255,-0.1028
256,-0.1156
257,-0.1182
258,-0.1162
259,-0.1072
260,-0.1212
261,-0.1372
262,-0.1306
263,-0.1258
264,-0.126
265,-0.1082
266,-0.1204
267,-0.1226
268,-0.122
269,-0.1066
270,-0.103
271,-0.111
272,-0.108
273,-0.1212
274,-0.1332
275,-0.143
276,-0.158
277,-0.1522
278,-0.1532
279,-0.1516
280,-0.152
281,-0.1554
282,-0.1554
283,-0.1556
284,-0.1628
285,-0.1688
286,-0.1758
287,-0.175
288,-0.1618
289,-0.1646
290,-0.171
291,-0.1672
292,-0.1558
293,-0.1474
294,-0.161
295,-0.1618
296,-0.1602
297,-0.1682
298,-0.1534
299,-0.1328
300,-0.1502
301,-0.1486
302,-0.1314
303,-0.1268
304,-0.132
305,-0.1254
306,-0.1222
307,-0.1026
308,-0.112
309,-0.112
310,-0.1102
311,-0.1044
312,-0.097
313,-0.114
314,-0.1144
315,-0.1092
316,-0.1112
317,-0.1164
318,-0.1152
319,-0.1132
320,-0.1166
321,-0.1292
322,-0.128
323,-0.1348
324,-0.1362
325,-0.1422
326,-0.1506
327,-0.1534
328,-0.162
329,-0.1678
330,-0.1592
331,-0.1576
