t,M
440,-0.0338
441,-0.029
442,-0.0326
443,-0.0302
444,-0.01
445,-0.0054
446,-0.012
447,-0.0186
448,-0.018
449,-0.016
450,-0.0184
451,-0.0062
452,-0.0126
453,-0.003
454,0.005
455,0.0046
456,-0.0012
457,0.0064
458,0.0112
459,0.0102
460,0.0162
461,-0.002
462,-0.0026
463,0.0056
464,0.0066
465,0.006
466,0.0106
467,0.0058
468,0.0072
469,0.0066
470,0.0062
471,0.0226
472,0.0026
473,-0.0088
474,-0.009
475,-0.003
476,-0.0218
477,-0.0296
478,-0.026
479,-0.022
480,-0.0076
481,0.003
482,0.0182
483,0.0114
484,0.0142
485,0.0242
486,0.002
487,-0.0078
488,0.0016
489,0.0196
490,0.0302
491,0.0124
492,0.0128
493,0.0202
494,0.0182
495,-0.0004
496,-0.0182
497,-0.0016
498,0.0158
499,0.0328
500,0.0162
501,0.0168
502,0.0302
503,0.023
504,0.019
505,0.026
506,0.029
507,0.0168
508,0.013
509,0.0106
510,0.0084
511,0.011
512,0.0228
513,0.0112
514,-0.0002
515,0.0042
516,-0.0024
517,0.003
518,0.0032
519,0.0088
520,0.0152
521,0.0236
522,0.0108
523,0.0114
524,0.0288
525,0.0248
526,0.0216
527,0.0294
528,0.0084
529,0.0066
530,0.0122
531,0.0256
532,0.0086
533,0.0002
534,0.007
535,0.0032
536,0.0062
537,0.0066
538,0.0078
539,-0.0184
540,-0.0082
541,-0.0132
542,-0.0028
543,-0.0124
544,-0.012
545,-0.016
546,-0.0272
547,-0.0272
548,-0.0272
549,-0.019
550,-0.0232
551,-0.0246
552,-0.0112
553,-0.0226
554,-0.0222
555,-0.0206
556,-0.0084
557,0.0008
558,0.009
559,0.0048
560,-0.0084
561,-0.02
562,-0.0132
563,-0.0102
564,-0.0278
565,-0.0398
566,-0.023
567,-0.024
568,-0.0174
569,-0.0286
570,-0.0204
571,-0.0128
572,-0.0094
573,-0.0058
574,-0.0012
575,0.0138
576,0.015
577,0.0324
578,0.0284
579,0.0134
580,0.0004
581,0.009
582,0.002
583,0.0086
584,0.0186
585,0.0172
586,0.0106
587,-0.002
588,-0.0088
589,-0.0186
590,-0.0072
591,0.014
592,-0.0146
593,-0.0254
594,-0.0286
595,-0.0138
596,-0.0154
597,-0.0222
598,-0.0178
599,-0.0068
600,-0.0032
601,-0.0158
602,-0.0088
603,-0.0186
604,-0.04
605,-0.0304
606,-0.0092
607,-0.0134
608,-0.009
609,-0.0124
610,-0.008
611,-0.003
612,-0.0042
613,0.025
614,0.0184
615,0.0148
616,0.0038
617,0.0196
618,0.0588
619,0.0458
620,0.0374
621,0.0226
622,0.0282
623,0.0226
624,0.0042
625,-0.0002
626,-0.0142
627,-0.0206
628,-0.0056
629,-0.0044
630,-0.0136
631,-0.0266
632,-0.0264
633,-0.0426
634,-0.0222
635,-0.0252
636,-0.0178
637,-0.0024
638,0.0076
639,-0.0036
640,-0.0162
641,-0.0092
642,-0.0176
643,-0.0164
644,-0.023
645,-0.0118
646,0.0002
647,-0.0076
648,0.0092
649,0.002
650,0.001
651,0.003
652,0.0224
653,0.0084
654,0.0126
655,0.007
656,0.0122
657,0.0042
658,0.0086
659,0.0206
660,0.0074
661,-0.0152
662,-0.0062
663,-0.0276
664,-0.0196
665,-0.0378
666,-0.049
667,-0.025
668,-0.0126
669,-0.0052
670,-0.0078
671,0.0062
672,0.0162
673,0.0396
674,0.0166
675,0.014
676,0.0258
677,0.0062
678,0.0096
679,0.0294
680,0.0046
681,0.0096
682,-0.0208
683,-0.0134
684,-0.0136
685,-0.0034
686,-0.0044
687,-0.0024
688,-0.0034
689,-0.0058
690,0.0008
691,-0.0182
692,-0.0506
693,-0.0618
694,-0.0692
695,-0.0554
696,-0.0434
697,-0.0376
698,-0.0362
699,-0.0304
700,-0.0142
701,-0.013
702,-0.0102
703,-0.0058
704,0.0106
705,0.0058
706,0.0222
707,-0.004
708,0.0144
709,0.0194
710,0.0012
711,-0.0182
712,-0.0028
713,-0.0082
714,0.004
715,0.0166
716,0.005
717,-0.0146
718,-0.0038
719,-0.0024
720,0.005
721,-0.0068
722,-0.0066
723,-0.004
724,-0.0064
725,0.0078
726,0.0182
727,0.0018
728,-0.0002
729,0.0048
730,0.0046
731,0.0172
732,0.033
733,0.0184
734,0.003
735,0.0142
736,0.0044
737,0.0036
738,0.0056
739,0.022
740,0.012
741,0.0066
742,-0.0026
743,0.0136
744,0.0184
745,0.0042
746,-0.0124
747,0.0016
748,0.0018
749,-0.0002
750,0.0084
751,-0.014
752,0.014
753,-0.0038
754,-0.0084
755,-0.028
756,-0.0476
757,-0.0362
758,-0.0268
759,-0.0484
760,-0.04
761,-0.0442
762,-0.0338
763,-0.0408
764,-0.0334
765,-0.0308
766,-0.0192
767,-0.0294
768,-0.041
769,-0.0184
770,-0.0042
771,-0.0124
772,-0.0014
773,0.0012
774,0.007
775,0.0002
776,-0.0024
777,0.0186
778,0.0172
779,0.0224
780,0.0162
781,0.0206
782,0.0124
783,-0.0094
784,0.0066
785,0.0102
786,0.0178
787,0.0212
788,-0.0094
789,-0.0098
790,-0.0176
791,-0.02
792,-0.0182
793,-0.0202
794,-0.0188
795,-0.021
796,-0.0142
797,-0.0044
798,-0.0138
799,-0.0144
800,-0.0152
801,-0.028
802,-0.0088
803,-0.001
804,-0.009
805,-0.0064
806,-0.0138
807,-0.0078
808,0.004
809,-0.0076
810,-0.0038
811,0.0028
812,-0.0022
813,-0.0156
814,-0.0332
815,-0.0598
816,-0.0714
817,-0.0548
818,-0.048
819,-0.0392
820,-0.0284
821,-0.0218
822,-0.026
823,-0.0198
824,-0.005
825,0.0028
826,-0.006
827,-0.0106
828,-0.004
829,-0.0026
830,-0.0046
831,-0.0096
832,-0.0182
833,-0.0078
834,-0.0268
835,-0.02
836,-0.0226
837,-0.0176
838,-0.0096
839,-0.0108
840,-0.0162
841,-0.027
842,-0.0308
843,-0.0136
844,-0.0018
845,-0.0004
846,-0.0078
847,-0.005
848,0.0034
849,-0.0196
850,-0.0176
851,0.0104
852,0.0076
853,-0.007
854,-0.0088
855,-0.0086
856,-0.0098
857,-0.0148
858,-0.005
859,-0.009
860,0.0046
861,-0.001
862,-0.004
863,-0.0036
864,0.0028
865,0.0114
866,-0.01
867,-0.002
868,-0.0164
869,-0.0108
870,-0.0072
871,0.002
872,-0.0004
873,-0.0112
874,-0.0168
875,-0.0226
876,-0.0468
877,-0.0354
878,-0.035
879,-0.0448
880,-0.023
881,-0.0148
882,-0.0116
883,-0.0126
884,-0.0084
885,-0.0158
886,-0.0124
887,-0.0082
888,-0.0232
889,-0.0132
890,-0.0224
891,-0.0076
892,-0.0068
893,-0.013
894,-0.01
895,-0.0132
896,-0.0076
897,-0.0082
898,-0.0042
899,-0.01
900,0.002
901,-0.0044
902,0.0136
903,0.0012
904,-0.0154
905,-0.0286
906,-0.0276
907,-0.0348
908,-0.0382
909,-0.0282
910,-0.0412
911,-0.0358
912,-0.0384
913,-0.0246
914,-0.0294
915,-0.028
916,-0.0198
917,-0.0224
918,-0.01
919,-0.0162
920,0.0146
921,0.004
922,-0.0044
923,-0.0122
924,-0.0164
925,-0.008
926,0.0022
927,0.0084
928,-0.0058
929,-0.023
930,-0.0136
931,0.006
932,0.0072
933,-0.0004
934,0.0024
935,-0.0104
936,-0.002
937,-0.0142
938,-0.027
939,-0.0176
940,-0.012
941,-0.0018
942,-0.0218
943,-0.032
944,-0.0194
945,-0.044
946,-0.0278
947,-0.0084
948,-0.0124
949,-0.0064
950,0.0122
951,0.0146
952,0.0112
953,0.0094
954,-0.002
955,-0.0172
956,-0.0186
957,0.0106
958,0.0122
959,0.0072
960,0.0016
961,-0.0014
962,0.0004
963,-0.0024
964,-0.0046
965,0.006
966,0.01
967,0.0076
968,0.0038
969,0.0192
970,0.0302
971,0.0226
972,0.0234
973,0.0258
974,-0.0108
975,-0.0124
976,-0.01
977,-0.0106
978,-0.0022
979,-0.0112
980,-0.0196
981,-0.014
982,-0.01
983,-0.0142
984,-0.011
985,-0.003
986,0.0144
987,0.008
988,-0.0148
989,0.0008
990,-0.0076
991,-0.0108
992,0.004
993,-0.0022
994,-0.0028
995,0.0182
996,0.0182
997,0.0188
998,0.0036
999,0.019
